Ranking,Country
1,Switzerland
2,Norway
3,Iceland
4,Hong Kong China (SAR)
5,Denmark
5,Sweden
7,Germany
7,Ireland
9,Singapore
10,Australia
10,Netherlands
12,Belgium
12,Finland
12,Liechtenstein
15,United Kingdom
16,New Zealand
17,United Arab Emirates
18,Canada
19,South Korea
20,Luxembourg
20,United States
22,Austria
22,Slovenia
24,Japan
25,Israel
25,Malta
27,Spain
28,France
29,Cyprus
30,Italy
31,Estonia
32,Czech Republic
33,Greece
34,Bahrain
35,Andorra
36,Poland
37,Latvia
37,Lithuania
39,Croatia
40,Qatar
40,Saudi Arabia
42,Portugal
43,San Marino
44,Chile
45,Slovak Republic
45,Turkey
47,Hungary
48,Argentina
49,Kuwait
50,Montenegro
51,Saint Kitts and Nevis
52,Uruguay
53,Romania
54,Antigua and Barbuda
55,Brunei
56,Russia
57,Bahamas
57,Panama
59,Oman
60,Georgia
60,Trinidad and Tobago
62,Barbados
63,Malaysia
64,Costa Rica
65,Serbia
66,Thailand
67,Kazakhstan
67,Seychelles
69,Belarus
70,Bulgaria
71,Palau
72,Mauritius
73,Grenada
74,Albania
75,China
76,Armenia
77,Mexico
78,Iran
78,Sri Lanka
80,Bosnia and Herzegovina
81,St. Vincent and the Grenadines
82,Dominican Republic
83,Ecuador
83,"Macedonia, FYR"
85,Cuba
86,Moldova
87,Maldives
87,Peru
89,Azerbaijan
89,Brazil
91,Colombia
92,Libya
93,Algeria
94,Turkmenistan
95,Guyana
96,Mongolia
97,Dominica
98,Tonga
99,Jordan
100,Ukraine
101,Tunisia
102,Marshall Islands
102,Paraguay
104,Fiji
105,Egypt
106,Uzbekistan
107,Vietnam
108,Saint Lucia
109,Lebanon
110,South Africa
111,Palestine State of
112,Indonesia
113,Philippines
114,Botswana
115,Jamaica
116,Samoa
117,Kyrgyz Republic
118,Belize
119,Venezuela
120,Bolivia
120,Morocco
122,Nauru
123,Gabon
124,Suriname
125,Bhutan
126,Tajikistan
127,El Salvador
128,Iraq
129,Bangladesh
130,Nicaragua
131,Cape Verde
132,Tuvalu
133,Equatorial Guinea
134,India
135,"Micronesia, Fed. Sts."
136,Guatemala
137,Kiribati
138,Honduras
139,Lao
140,Vanuatu
141,Sao Tome and Principe
142,Eswatini (Kingdom of)
142,Namibia
144,Myanmar
145,Ghana
146,Kenya
146,Nepal
148,Cambodia
149,"Congo, Rep."
150,Angola
151,Cameroon
152,Comoros
153,Zambia
154,Papua New Guinea
155,Timor-Leste
156,Solomon Islands
157,Syrian Arab Republic
158,Haiti
159,Uganda
159,Zimbabwe
161,Nigeria
161,Rwanda
163,Togo
164,Mauritania
164,Pakistan
166,Cote d'Ivoire
167,Tanzania
168,Lesotho
169,Senegal
170,Sudan
171,Djibouti
172,Malawi
173,Benin
174,Gambia
175,Eritrea
176,Ethiopia
177,Liberia
177,Madagascar
179,Guinea-Bissau
180,"Congo, Dem. Rep."
181,Guinea
182,Afghanistan
183,Mozambique
184,Sierra Leone
185,Burkina Faso
186,Yemen
187,Burundi
188,Mali
189,Chad
189,Niger
191,Central African Republic
192,South Sudan
193,Somalia
